Participant name: 
Nausea Reduction: False
Claustrophobia Reduction: False
Experiment Date & Time: 2019-Mar-21 12:03
Configuration Type: default
Configuration File Name: --
Application Version: 1.6

Global_Time_Seconds,Current_Day,Day_Time_Seconds,Current_State,Head_X_Position_Meters,Head_Y_Position_Meters,Head_Z_Position_Meters,Head_X_Rotation_Degrees,Head_Y_Rotation_Degrees,Head_Z_Rotation_Degrees,L_Hand_X_Position_Meters,L_Hand_Y_Position_Meters,L_Hand_Z_Position_Meters,R_Hand_X_Position_Meters,R_Hand_Y_Position_Meters,R_Hand_Z_Position_Meters,Bucket_X_Position_Meters,Bucket_Y_Position_Meters,Bucket_Z_Position_Meters,Avg_Moving_Speed_Last_Second_M/sec,Current_Water_In_Bucket,Cumulative_Water_Carried,Today_Water_Carried,Cumulative_Water_Spilled,Today_Water_Spilled,Cumulative_Water_Delivered,Today_Water_Delivered,Total_Score,Today_Score,Current_Pay_Per_Drop,Shake_Impairment_Day_Current_Strength_Pcnt,Shake_Impairment_Day_Initial_Strength_Pcnt,Seconds_Waited_Treatment_Day,Amount_Payed_Treatment_Day,Seconds_Waited_Treatment_Total,Amount_Payed_For_Treatment_Total
59.31349,0,0,RUNNING,0.1693522,0.5077228,0.7019776,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002129528,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60.31858,0,0,RUNNING,0.1692882,0.5077606,0.7020427,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,9.887142E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61.32397,0,0,RUNNING,0.1693009,0.5078587,0.7020607,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001005144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62.32928,0,0,RUNNING,0.169485,0.5077037,0.7020603,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002407048,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63.3349,0,0,RUNNING,0.1693121,0.5077578,0.702008,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.000188561,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64.33985,0,0,RUNNING,0.1692799,0.5078918,0.7019699,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001429659,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65.34531,0,0,RUNNING,0.1692297,0.5078601,0.702018,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,7.638481E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66.35087,0,0,RUNNING,0.1694112,0.5078899,0.7020409,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001853482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67.35569,0,0,RUNNING,0.1692728,0.5077149,0.7022083,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.000278962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68.36094,0,0,RUNNING,0.1694467,0.5078017,0.7019604,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003149745,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69.36662,0,0,RUNNING,0.1694178,0.5078188,0.7020544,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,9.971614E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70.37176,0,0,RUNNING,0.1694099,0.5079425,0.7020305,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0001261909,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71.37713,0,0,RUNNING,0.1691737,0.5077118,0.7020876,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0003350764,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72.38238,0,0,RUNNING,0.1693079,0.5078482,0.7019436,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002395511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73.38765,0,0,RUNNING,0.1692927,0.5077738,0.702156,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002256105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74.3928,0,0,RUNNING,0.1693889,0.5078493,0.7019557,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002346976,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75.39812,0,0,RUNNING,0.1693557,0.5078085,0.702,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,6.877018E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76.40359,0,0,RUNNING,0.1693356,0.5077901,0.7020395,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,4.796583E-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77.40872,0,0,RUNNING,0.1694916,0.5076064,0.7020029,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002437279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78.41306,0,0,RUNNING,0.1693614,0.5078309,0.7021273,-6,-51,-4,-0.02663825,-0.02663825,0,-0.02663825,-0.02663825,0,1.241875,1.065623,0.4437931,0.0002876921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
